Club,Competición,Edad media jugadores,Número de jugadores,Valor de mercado del club,Valor medio de jugador,18 jugadores más valiosos,Porcentaje de los 18 jugadores
AS Roma,Serie A,25.1,30,â‚¬410.35m,â‚¬13.68m,â‚¬375.80m,91.60
Aston Villa,Premier league,25.7,24,â‚¬408.30m,â‚¬17.01m,â‚¬392.80m,96.20
Wolverhampton Wanderers,Premier League,26.3,24,â‚¬391.10m,â‚¬16.30m,â‚¬376.30m,96.20
Real Sociedad,La     Liga,26.0,26,â‚¬377.00m,â‚¬14.50m,â‚¬354.50m,94.00
West Ham United,premier League,28.8, ,â‚¬353.25m,â‚¬14.72m,â‚¬341.50m,96.70
Bayer 04 Leverkusen,Bundesliga,24.7,27,â‚¬352.75m,â‚¬13.06m,â‚¬323.00m,91.60
AS Monaco,Ligue 1,24.5,28,â‚¬350.90m,â‚¬12.53m,â‚¬313.00m,89.20
Olympique Lyon,Ligue 1,25.5,29,â‚¬348.50m,â‚¬12.02m,â‚¬333.10m,95.60
Ajax Amsterdam,   Eredivisie,25.6,25, ,â‚¬13.73m,â‚¬322.70m,94.00
SS Lazio,Serie A,27.5,33,â‚¬326.60m,â‚¬9.90m,â‚¬301.80m,92.40
Borussia MÃ¶nchengladbach,Bundesliga,25.4,28,â‚¬300.00m,â‚¬10.71m,â‚¬288.90m,96.30
Villarreal CF,La      Liga,28.2,24,â‚¬298.90m,â‚¬12.45m, ,95.00
VfL Wolfsburg, ,25.2,32,â‚¬287.83m,â‚¬8.99m,â‚¬260.40m,90.50
SL Benfica,Liga      Bwin,27.1,29,â‚¬285.50m,â‚¬9.84m,â‚¬239.00m,83.70
LOSC Lille,Ligue 1,25.4,26,â‚¬272.00m,â‚¬10.46m,â‚¬262.50m,96.50
FC Porto,Liga Bwin,26.7,26,â‚¬265.00m, ,â‚¬242.00m,91.30
Olympique Marseille,Ligue 1,23.4,30,â‚¬262.75m,â‚¬8.76m,â‚¬252.00m,95.90
Leeds United,Premier League,24.9,24,â‚¬252.70m,â‚¬10.53m,â‚¬247.50m, 
Valencia CF, ,25.6,27,â‚¬251.90m,â‚¬9.33m,â‚¬234.50m,93.10
ACF Fiorentina,Serie A,26.9,26, ,â‚¬9.57m,â‚¬232.80m,93.60
Brighton & Hove Albion,Premier League,25.8,26,â‚¬248.10m,â‚¬9.54m,â‚¬226.80m,91.40
Newcastle United, ,28.2,25,â‚¬241.40m,â‚¬9.66m,â‚¬223.00m,92.40
Southampton FC,Premier League,25.6,27,â‚¬241.30m,â‚¬8.94m,â‚¬224.00m,92.80
Crystal Palace,Premier     League,27.5,26,â‚¬239.45m,â‚¬9.21m, ,93.10
Eintracht Frankfurt,Bundesliga,25.5,32,â‚¬231.25m,â‚¬7.23m,â‚¬211.75m,91.60
Real Betis BalompiÃ©,La     Liga,28.6,28, ,â‚¬7.98m,â‚¬208.20m,93.20
OGC Nice,Ligue 1,24.1,26,â‚¬218.25m,â‚¬8.39m,â‚¬202.80m,92.90
US Sassuolo,Serie A,27.2,27,â‚¬216.90m,â‚¬8.03m,â‚¬198.70m,91.60
TSG 1899 Hoffenheim,Bundesliga,25.8,32,â‚¬207.65m,â‚¬6.49m,â‚¬181.30m,87.30
Sporting CP,Liga Bwin,25.9,23,â‚¬198.20m,â‚¬8.62m,â‚¬189.00m,95.40
Norwich City,Premier League,25.2,29,â‚¬189.55m,â‚¬6.54m,â‚¬174.50m,92.10
Athletic Bilbao,La  Liga,26.4,26,â‚¬188.30m,â‚¬7.24m,â‚¬179.00m,95.10
Stade Rennais FC,Ligue 1,23.6,28,â‚¬185.15m,â‚¬6.61m,â‚¬181.90m,98.20
Torino FC,Serie A,26.0,30,â‚¬184.13m,â‚¬6.14m,â‚¬165.00m,89.60
Shakhtar Donetsk,Premier Liga,25.7,29,â‚¬184.00m,â‚¬6.34m,â‚¬166.50m,90.50
Zenit St. Petersburg,Premier Liga,27.0,22,â‚¬173.70m, ,â‚¬171.30m,98.60
VfB Stuttgart, ,23.4,33,â‚¬169.63m,â‚¬5.14m,â‚¬153.00m,90.20
Brentford FC,Premier League,24.5,31,â‚¬166.45m,â‚¬5.37m,â‚¬154.00m,92.50
Getafe CF, ,27.1,25,â‚¬159.45m,â‚¬6.38m,â‚¬153.20m,96.10
PSV Eindhoven,Eredivisie,25.0,27,â‚¬158.05m,â‚¬5.85m, ,93.30
Cagliari Calcio,Serie A,26.9,29,â‚¬153.53m,â‚¬5.29m,â‚¬142.80m,93.00
Red Bull Salzburg,Bundesliga,23.1,28,â‚¬152.40m,â‚¬5.44m,â‚¬137.60m,90.30
Club Brugge KV,Jupiler Pro League,24.1,31,â‚¬150.40m,â‚¬4.85m,â‚¬139.00m, 
Clube de Regatas do Flamengo,SÃ©rie A,27.4,31,â‚¬147.75m,â‚¬4.77m,â‚¬130.00m,88.00
Fulham FC,Championship,27.0,29,â‚¬147.70m,â‚¬5.09m,â‚¬132.00m,89.40
Burnley FC,Premier League,29.9,24,â‚¬145.30m,â‚¬6.05m,â‚¬138.50m,95.30
Celta de Vigo,La  Liga,28.0,21, ,â‚¬6.85m,â‚¬140.50m,97.70
Sociedade Esportiva Palmeiras,SÃ©rie A,27.0,31,â‚¬143.20m,â‚¬4.62m,â‚¬125.95m,88.00
Bologna FC 1909, ,25.7,28,â‚¬142.48m,â‚¬5.09m,â‚¬133.30m,93.60
Hertha BSC,Bundesliga,26.3,28,â‚¬137.05m,â‚¬4.89m,â‚¬124.70m,91.00
Watford FC,Premier League,27.9,26, ,â‚¬5.12m,â‚¬119.00m,89.50
Dynamo Kyiv,Premier Liga,25.4,30,â‚¬133.00m,â‚¬4.43m,â‚¬118.50m,89.10
